english,korean,partOfSpeech,phonetic,meanings,example1_en,example1_ko,example2_en,example2_ko,status
happy,행복한,형용사,/ˈhæpi/,행복한|기쁜|만족한,I am happy.,나는 행복해요.,She is happy today.,그녀는 오늘 행복해요.,current
sad,슬픈,형용사,/sæd/,슬픈|서운한|우울한,I am sad.,나는 슬퍼요.,He looks sad.,그는 슬퍼 보여요.,current
tired,피곤한,형용사,/ˈtaɪərd/,피곤한|지친|지루한,I am tired.,나는 피곤해요.,She is tired after school.,그녀는 학교 후에 피곤해요.,current
angry,화난,형용사,/ˈæŋɡri/,화난|성난|짜증난,He is angry.,그는 화났어요.,I am not angry.,나는 화나지 않아요.,current
hungry,배고픈,형용사,/ˈhʌŋɡri/,배고픈|허기진|먹고싶은,I am hungry.,나는 배고파요.,We are hungry now.,우리는 지금 배고파요.,current
sleepy,졸린,형용사,/ˈsliːpi/,졸린|나른한|잠이오는,I am sleepy.,나는 졸려요.,He is sleepy in class.,그는 수업에서 졸려요.,current
sick,아픈,형용사,/sɪk/,아픈|병든|메스꺼운,I am sick.,나는 아파요.,She feels sick.,그녀는 아픈 기분이에요.,current
thirsty,목마른,형용사,/ˈθɝːsti/,목마른|갈증난|물을원하는,I am thirsty.,나는 목말라요.,He is thirsty after running.,그는 달린 후 목말라요.,current
hot,뜨거운,형용사,/hɑːt/,뜨거운|더운|매운,The soup is hot.,수프가 뜨거워요.,It is hot today.,오늘은 더워요.,current
cold,추운,형용사,/koʊld/,추운|차가운|서늘한,The water is cold.,물은 차가워요.,It is cold outside.,밖이 추워요.,current
cold,감기,명사,/koʊld/,감기|추위|냉기,He has a cold.,그는 감기에 걸렸어요.,I got a cold.,나는 감기에 걸렸어요.,current
winter,겨울,명사,/ˈwɪntər/,겨울|겨울철|추운계절,I like winter.,나는 겨울을 좋아해요.,Winter is cold.,겨울은 추워요.,current
vacation,방학,명사,/veɪˈkeɪʃən/,방학|휴가|여행,Winter vacation is fun.,겨울 방학은 재미있어요.,I am on vacation.,나는 방학이에요.,current
outside,밖,부사,/ˌaʊtˈsaɪd/,밖에|바깥으로|외부에서,Please go outside.,밖에 나가요.,He plays outside.,그는 밖에서 놀아요.,current
miss,그리워하다,동사,/mɪs/,그리워하다|놓치다|부재를느끼다,I miss you.,나는 너를 그리워해.,She misses her mom.,그녀는 엄마가 그리워요.,current
how are you?,안부,감탄사,/haʊ ɑːr juː/,안부인사|어떻게지내|잘지내,How are you?,잘 지내?,I am fine. How are you?,나는 괜찮아 너는 어때?,current
fun,재미있는,형용사,/fʌn/,재미있는|즐거운|신나는,This game is fun.,이 게임은 재미있어요.,The trip was fun.,그 여행은 즐거웠어요.,current
go,가다,동사,/ɡoʊ/,가다|이동하다|출발하다,Let’s go.,가자.,I go to school.,나는 학교에 가요.,current
Canada,캐나다,명사,/ˈkænədə/,캐나다|나라|국가,Canada is big.,캐나다는 커요.,He lives in Canada.,그는 캐나다에 살아요.,current
cannot,못하다,동사,/ˈkænɑːt/,못하다|할수없다|불가능하다,I cannot swim.,나는 수영을 못해요.,She cannot come today.,그녀는 오늘 못 와요.,current
student,학생,명사,/ˈstuːdənt/,학생|학습자|재학생,I am a student.,나는 학생이에요.,The student reads.,그 학생은 읽어요.,current
teacher,선생님,명사,/ˈtiːtʃər/,선생님|교사|가르치는사람,My teacher is kind.,우리 선생님은 친절해요.,The teacher helps me.,선생님이 나를 도와줘요.,current
doctor,의사,명사,/ˈdɑːktər/,의사|진료의사|의료인,The doctor is here.,의사가 여기 있어요.,I see a doctor.,나는 의사를 만나요.,current
nurse,간호사,명사,/nɝːs/,간호사|간병인|돌보는사람,The nurse is nice.,간호사는 친절해요.,A nurse helps patients.,간호사는 환자를 도와요.,current
police officer,경찰관,명사,/pəˈliːs ˈɔːfɪsər/,경찰관|경찰|치안요원,The police officer helps us.,경찰관이 우리를 도와요.,A police officer stops cars.,경찰관이 차를 세워요.,current
firefighter,소방관,명사,/ˈfaɪərˌfaɪtər/,소방관|화재진압자|구조대원,The firefighter is brave.,소방관은 용감해요.,Firefighters put out fires.,소방관은 불을 꺼요.,current
chef,요리사,명사,/ʃef/,요리사|주방장|조리사,The chef cooks soup.,요리사가 수프를 만들어요.,I want to be a chef.,나는 요리사가 되고 싶어요.,current
vet,수의사,명사,/vet/,수의사|동물의사|수의학자,The vet helps my dog.,수의사가 우리 개를 도와요.,We visit the vet.,우리는 수의사에게 가요.,current
pilot,비행사,명사,/ˈpaɪlət/,비행사|조종사|파일럿,The pilot flies a plane.,비행사가 비행기를 몰아요.,A pilot wears a uniform.,비행사는 제복을 입어요.,current
writer,작가,명사,/ˈraɪtər/,작가|글쓴이|필자,My dad is a writer.,우리 아빠는 작가예요.,I want to be a writer.,나는 작가가 되고 싶어요.,current
imagine,상상하다,동사,/ɪˈmædʒɪn/,상상하다|떠올리다|그리다,Imagine a rainbow.,무지개를 상상해요.,I imagine a castle.,나는 성을 상상해요.,current
future,미래,명사,/ˈfjuːtʃər/,미래|앞날|장래,The future is bright.,미래는 밝아요.,I think about the future.,나는 미래를 생각해요.,current
want,원하다,동사,/wɑːnt/,원하다|바라다|필요하다,I want water.,나는 물을 원해요.,She wants a pencil.,그녀는 연필을 원해요.,current
How about ~,제안,감탄사,/haʊ əˈbaʊt/,어때|제안|권유,How about pizza?,피자는 어때?,How about we play?,우리 놀까?,current
want to be,되고싶다,동사,/wɑːnt tə biː/,되고싶다|되기를원하다|희망하다,I want to be a teacher.,나는 선생님이 되고 싶어요.,He wants to be a doctor.,그는 의사가 되고 싶어요.,current
who,누구,명사,/huː/,누구|누가|어느사람,Who is she?,그녀는 누구예요?,Who are you?,너는 누구야?,current
grass,잔디,명사,/ɡræs/,잔디|풀|초원,The grass is green.,잔디는 초록색이에요.,I sit on the grass.,나는 잔디에 앉아요.,current
grape,포도,명사,/ɡreɪp/,포도|포도알|과일,I like grapes.,나는 포도를 좋아해요.,Grapes are sweet.,포도는 달아요.,current
friend,친구,명사,/frend/,친구|벗|동무,She is my friend.,그녀는 내 친구예요.,I play with my friend.,나는 친구와 놀아요.,current
grasshopper,메뚜기,명사,/ˈɡræsˌhɑːpər/,메뚜기|곤충|풀벌레,A grasshopper can jump.,메뚜기는 뛸 수 있어요.,I saw a grasshopper.,나는 메뚜기를 봤어요.,current
father,아빠,명사,/ˈfɑːðər/,아버지|아빠|부친,My father is tall.,우리 아빠는 키가 커요.,Father cooks dinner.,아빠가 저녁을 만들어요.,current
mother,엄마,명사,/ˈmʌðər/,어머니|엄마|모친,My mother is kind.,우리 엄마는 친절해요.,Mother reads a book.,엄마가 책을 읽어요.,current
parents,부모,명사,/ˈperənts/,부모|양친|부모님,My parents work.,우리 부모님은 일해요.,I love my parents.,나는 부모님을 사랑해요.,current
grandfather,할아버지,명사,/ˈɡrændˌfɑːðər/,할아버지|조부|할아버님,My grandfather smiles.,우리 할아버지는 웃어요.,Grandfather tells stories.,할아버지가 이야기를 해요.,current
grandmother,할머니,명사,/ˈɡrændˌmʌðər/,할머니|조모|할머님,My grandmother cooks.,우리 할머니는 요리해요.,Grandmother hugs me.,할머니가 나를 안아줘요.,current
brother,형제,명사,/ˈbrʌðər/,남동생|형|오빠,I have a brother.,나는 형제가 있어요.,My brother is funny.,내 형제는 웃겨요.,current
sister,자매,명사,/ˈsɪstər/,여동생|누나|언니,I have a sister.,나는 자매가 있어요.,My sister sings.,내 자매는 노래해요.,current
uncle,삼촌,명사,/ˈʌŋkəl/,삼촌|숙부|외삼촌,My uncle visits us.,삼촌이 우리를 방문해요.,Uncle gives me candy.,삼촌이 사탕을 줘요.,current
aunt,이모,명사,/ænt/,이모|고모|숙모,My aunt is nice.,이모는 친절해요.,Aunt has a cat.,이모는 고양이가 있어요.,current
cousin,사촌,명사,/ˈkʌzən/,사촌|사촌형제|친척,My cousin is my friend.,사촌은 내 친구예요.,I play with my cousin.,나는 사촌과 놀아요.,current
that,저것,명사,/ðæt/,저것|그것|저,That is my bag.,저것은 내 가방이야.,That is a dog.,저것은 개야.,current
this,이것,명사,/ðɪs/,이것|이|여기것,This is my book.,이것은 내 책이야.,This is a cat.,이것은 고양이야.,current
my,내,명사,/maɪ/,내|나의|소유,My name is Mina.,내 이름은 미나야.,This is my pencil.,이것은 내 연필이야.,current
live,살다,동사,/lɪv/,살다|거주하다|생활하다,I live in Seoul.,나는 서울에 살아요.,Fish live in water.,물고기는 물에 살아요.,current
and,그리고,부사,/ænd/,그리고|또|및,I have a dog and a cat.,나는 개와 고양이가 있어요.,She sings and dances.,그녀는 노래하고 춤춰요.,current
there are,있다,동사,/ðer ɑːr/,있다|존재하다|놓여있다,There are two apples.,사과가 두 개 있어요.,There are many books.,책이 많이 있어요.,current
together,함께,부사,/təˈɡeðər/,함께|같이|함께하여,We play together.,우리는 함께 놀아요.,Let’s eat together.,같이 먹자.,current
family,가족,명사,/ˈfæməli/,가족|식구|가문,My family is happy.,우리 가족은 행복해요.,I love my family.,나는 가족을 사랑해요.,current
his,그의,명사,/hɪz/,그의|그사람의|소유,This is his hat.,이것은 그의 모자야.,His dog is cute.,그의 개는 귀여워요.,current
